houde_id, simulated_house, real_coord_x, real_coord_y, real_address, sigungu_cd, bjdong_cd, bun, ji
YC-001, H1, 36.0121264, 128.9746239, 경상북도 영천시 임고면 양항리 310, 47230, 37021, 0310, 0000
YC-002, H2, 36.0067878, 128.9895615, 경상북도 영천시 임고면 우항리 309-1, 47230, 37031, 0309, 0001
YC-003, H3, 36.0019784, 128.9142535, 경상북도 영천시 녹전동 1059-2, 47230, 12100, 1059, 0002
YC-004, H4, 36.0121294, 128.9209795, 경상북도 영천시 매산동 458-1, 47230, 12700, 0458, 0001
YC-005, H5, 36.0536309, 128.8908140, 경상북도 영천시 화남면 삼창리 1187-11, 47230, 35027, 1187, 0011
YC-006, H6, 35.9597172, 128.9301809, 경상북도 영천시 금노동 601-3, 47230, 11200, 0601, 0003
