체육시설명,도로명주소,지번주소,위도,경도
도동 야외운동기구,"경상북도 영천시 도동큰길 30(도동, 천마빌라)",경상북도 영천시 도동 511-1 천마빌라 천마빌라 앞,35.94173119,128.9313032
삼매1리소공원,,경상북도 영천시 임고면 삼매리 1274,36.0644722,128.9935031
원촌1리 동네체육시설물,경상북도 영천시 청통면 창마길 16,경상북도 영천시 청통면 원촌리 516-125,35.98458642,128.8257481
덕연리 마을공원,,경상북도 영천시 임고면 덕연리 989-32,36.0519085,128.9880619
우항리 마을공터,,경상북도 영천시 임고면 우항리 1051-147,36.00979612,128.9842852
우항리 연하지공터,,경상북도 영천시 임고면 우항리 산 9,36.00728653,129.0000053
석계리 동네체육시설,경상북도 영천시 고경면 생계길 6-9,경상북도 영천시 고경면 석계리 162 석계리회관,36.00244457,129.0940797
파계리 동네체육시설,경상북도 영천시 고경면 용담로 1809,경상북도 영천시 고경면 파계리 239 파계리경로당,35.96089617,129.1107219
조곡리 야외운동기구,"경상북도 영천시 대창면 금창로 785 건지발10,681,경로당",경상북도 영천시 대창면 조곡리 247 248-1,35.86953142,128.9050098
도동 야외운동기구,"경상북도 영천시 도동큰길 30(도동, 천마빌라)",경상북도 영천시 도동 511-1 천마빌라,35.94173119,128.9313032
자천1리 동네체육시설,경상북도 영천시 화북면 천문로 2177-10 자천리 1428-3번지 건너편,경상북도 영천시 화북면 자천리 2459 자천리 1428-3번지 건너편,36.10566253,128.9152227
정각2리 동네체육시설,,경상북도 영천시 화북면 정각리 375,36.13033063,128.9942003
강회리 마을입구 생활체육시설,,경상북도 영천시 대창면 대창리 45,35.89184618,128.8883282
양평2리 마을공터,경상북도 영천시 임고면 수평길 52,경상북도 영천시 임고면 양평리 385,36.0241566,128.9817014
계지2리쉼터 동네체육시설물,경상북도 영천시 청통면 금송로 1227-6,경상북도 영천시 청통면 계지리 723-4,36.0099664,128.8086304
대평쉼터 동네체육시설물,,경상북도 영천시 청통면 대평리 695-4,35.96538826,128.8641741
면민복지회관 동네체육시설물,경상북도 영천시 청통면 청통초등길 11,경상북도 영천시 청통면 치일리 13 청통보건지소,35.9920291,128.8234192
송천리 동네체육시설물,경상북도 영천시 청통면 관방길 35,경상북도 영천시 청통면 송천리 379-2,35.97331055,128.8192882
