체육시설명,도로명주소,지번주소,위도,경도
황강리 전원마을,,경상북도 영천시 임고면 황강리 440,36.02889241,128.9943093
고현천소공원,경상북도 영천시 화남면 천문로 1606-1,경상북도 영천시 화남면 삼창리 1187-34 고현천 소공원(삼창리1187번지선),36.06072678,128.8923346
귀호2리 경로당,경상북도 영천시 화남면 귀호리 71,경상북도 영천시 화남면 귀호리 71 귀호리 71,36.0533266,128.879032
금호1리 소공원,경상북도 영천시 화남면 금호1길 14,경상북도 영천시 화남면 금호리 1130-1 (1131-1번지선),36.06753234,128.9030242
사천1리(중동)소공원,경상북도 영천시 화남면 천문로 1187,경상북도 영천시 화남면 사천리 669 (668번지선),36.03673466,128.9209149
신호1리 경로당,경상북도 영천시 화남면 신흥길 7-1,경상북도 영천시 화남면 신호리 658,36.03393243,128.9336208
월곡1리 경로당,경상북도 영천시 화남면 월령길 178,경상북도 영천시 화남면 월곡리 642-2 월곡리마을회관,36.1019875,128.8813293
석촌리 체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
유성2리 동네체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
동신A 옆 동네체육시설,,경상북도 영천시 완산동,35.96218031,128.9441154
담안공원,,경상북도 영천시 남부동,35.93405719,128.9467726
대창리 간이족구장,경상북도 영천시 대창면 금창로 701,경상북도 영천시 대창면 대재리 862-8,35.87400323,128.89776911
고지리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
교대리 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
당1리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
대미리 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
도천1리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
면사무소 소공원 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
명주경로당 앞 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
명주원곡경로당 건강관리실,,경상북도 영천시 북안면,35.90276705,129.0018994
반정1리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
보현 보건진료소 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
보현리 복지회관 좌측 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
봉화산 등산로 체육시설,,경상북도 영천시 청통면,35.99078535,128.8351287
북안종합복지회관 체력단련실,,경상북도 영천시 북안면,35.90276705,129.0018994
상리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
서당리 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
석섬리 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
소도읍 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
신방2리 경로당 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
신월리 동네체육시설,,경상북도 영천시 금호읍,35.92284105,128.8944927
연계1리 동네체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
연계1리 연계쉼터,,경상북도 영천시 화산면,36.03058596,128.8568423
용산리 소공원 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
유성1리 동네체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
임포2리 경로당 2층 건강관리실,,경상북도 영천시 북안면,35.90276705,129.0018994
임포교회 교육관 앞 체육시설,,경상북도 영천시 북안면,35.90276705,129.0018994
충효3리 소공원 체육시설,,경상북도 영천시 자양면,36.10456555,129.0478397
화산면 게이트볼장,,경상북도 영천시 화산면,36.03058596,128.8568423
화산면 복지회관,,경상북도 영천시 화산면,36.03058596,128.8568423
효정1리 동네체육시설,,경상북도 영천시 화산면,36.03058596,128.8568423
화룡동 마을쉼터,,경상북도 영천시 화룡동 289-2,35.965977,128.919829
덕암2리 동네체육시설,,경상북도 영천시 화산면 덕암리 237,36.03608,128.834065
냉천2리 동네체육시설,경상북도 영천시 금호읍 금호로 190-12,경상북도 영천시 금호읍 냉천리 431,35.93346,128.883133
야사4통 체육시설,경상북도 영천시 야사4길 25 (야사동),경상북도 영천시 야사동 118-1,35.976214,128.946058
용전리 야외운동시설,,경상북도 영천시 대창면 용전리 212-1,35.870997,128.950711
반정1리 동네체육시설,,경상북도 영천시 북안면 반정리 1348-8,35.928711,128.995837
대천2리 경로당,경상북도 영천시 화남면 대천2길 7,경상북도 영천시 화남면 대천리 425-3 대천2리마을회관,36.040726,128.908421
고도2리 동네체육시설,,경상북도 영천시 고경면 고도리 250,35.974387,129.025007
성내철길숲,,경상북도 영천시 성내동 218-2,35.959935,128.923248
범어진옥 야외운동기구,경상북도 영천시 범어2길 3-3 (범어동),경상북도 영천시 범어동 765-1,35.94382,128.959767
담안길공원 야외운동기구,,경상북도 영천시 금노동 542-13,35.961138,128.930284
고지1리 동네체육시설,경상북도 영천시 북안면 팔암길 58,경상북도 영천시 북안면 고지리 682-2 팔암경로당,35.914484,129.006278
효정2리 경로당 동네체육시설,,경상북도 영천시 화산면 효정리 446-2,36.050045,128.831332
화남1리 동네체육시설,경상북도 영천시 신녕면 화남리 663,경상북도 영천시 신녕면 화남리 663 경상북도 영천시 신녕면 화남리 663,36.07713777,128.7607343
도암2리 동네체육시설,경상북도 영천시 고경면 호국로 803,경상북도 영천시 고경면 도암리 130-1 도암2리회관,36.00138804,129.0176219
가천리 동네체육시설,경상북도 영천시 신녕면 큰골길 101,경상북도 영천시 신녕면 가천리 183-1 가천리마을회관,36.05438861,128.7914264
매양2리 동네체육시설(어릿골),,경상북도 영천시 신녕면 매양리 673,36.03038877,128.770492
화성1리 동네체육시설,경상북도 영천시 신녕면 신화로 63-16,경상북도 영천시 신녕면 화성리 998 화성리 469,36.0464726,128.7932004
금호2리 공터,,경상북도 영천시 화남면 금호리 11 금호2리 공터,36.07577696,128.9116118
우로지 메타세콰이어길 체육시설,,경상북도 영천시 신기동 290 메타세콰이어길 공연장 옆,35.99039591,128.9570615
덕암2리 동네체육시설,,경상북도 영천시 화산면 덕암리 237,36.03606439,128.8340648
본촌경로당 야외운동기구,경상북도 영천시 예실큰길 4-15 (본촌동),경상북도 영천시 본촌동 639,35.92524423,128.9522522
사리1리 야외운동시설,경상북도 영천시 대창면 선진길 43,경상북도 영천시 대창면 사리리 146 사리1리복지회관,35.87932746,128.8846221
양항1리 마을쉼터,경상북도 영천시 임고면 양항리 259-8 양항리 259-8,경상북도 영천시 임고면 양항리 259-8 양항리 259-8,36.01007916,128.9728076
용계리 마을회관,경상북도 영천시 화남면 용구길 498,경상북도 영천시 화남면 용계리 255,36.12875573,128.8812513
정각리 1664 동네체육시설,경상북도 영천시 화북면 정각리 1664 팔각정 옆,경상북도 영천시 화북면 정각리 1664 팔각정 옆,36.13738248,128.9893673
정각리 639-2 동네체육시설,경상북도 영천시 화북면 정각길 16,경상북도 영천시 화북면 정각리 639-2,36.13868162,128.9946392
효정2리 경로당 동네체육시설,,경상북도 영천시 화산면 효정리 446-2,36.04983764,128.8312359
