대지위치,허가일,사용승인일,주용도,부속용도,세대수,호수,가구수,위도,경도
경상북도 영천시 신녕면 치산리 491,2011-05-12,2011-07-27,단독주택,다가구주택,,,7,36.05886550,128.71776394
경상북도 영천시 야사동 217-5,2011-05-12,2011-08-30,단독주택,다가구,,,18,35.97183709,128.94541111
경상북도 영천시 야사동 217,2011-05-12,2011-08-30,단독주택,다가구,,,18,35.97189057,128.94558259
경상북도 영천시 문내동 229-8,2011-04-27,2011-11-16,단독주택,다가구주택,,,11,35.97370604,128.93201750
경상북도 영천시 문내동 149 외1필지,2011-04-26,2011-10-27,단독주택,"다가구,소매점",,,10,35.96874089,128.93313399
경상북도 영천시 완산동 568,2011-04-22,2011-09-26,단독주택,,,,,35.96269158,128.95312123
경상북도 영천시 완산동 906-32,2011-04-07,2011-08-29,단독주택,다가구주택,,,11,35.96221065,128.93806803
경상북도 영천시 문내동 12-1,2011-03-28,2011-12-21,단독주택,단독주택(다가구),,,18,35.97393700,128.93054148
경상북도 영천시 임고면 황강리 373-3,2011-03-28,2011-09-30,단독주택,,,,,36.02508091,128.99153332
경상북도 영천시 완산동 729-38 외1필지,2011-03-16,2011-07-22,단독주택,다가구주택,,,14,35.96542958,128.94116061
경상북도 영천시 야사동 158-4,2011-03-04,2011-07-14,단독주택,다가구주택,,,,35.97496311,128.94460132
경상북도 영천시 망정동 519-7,2011-02-16,2011-07-19,단독주택,다가구주택,,,15,35.98709295,128.95246706
경상북도 영천시 문내동 14-7,2011-01-06,2011-09-30,단독주택,다가구주택,,,13,35.97412858,128.93190444
경상북도 영천시 문내동 14-1,2011-01-06,2011-09-29,단독주택,다가구주택,,,10,35.97404898,128.93176309
경상북도 영천시 문외동 185-11,2010-07-23,2011-05-12,단독주택,,,,11,35.97117723,128.93687048
경상북도 영천시 금호읍 교대리 42,2010-07-12,2011-02-25,단독주택,다중주택,,14,,35.93416333,128.87413354
경상북도 영천시 금호읍 교대리 42-1,2010-07-12,2011-02-21,단독주택,다중주택,,14,,35.93418876,128.87428008
경상북도 영천시 망정동 169-1,2010-06-30,2010-10-26,단독주택,다가구주택,,,11,35.97561927,128.94836503
경상북도 영천시 문외동 185-10,2010-06-10,2011-05-12,단독주택,다가구주택,,,11,35.97132346,128.93702098
경상북도 영천시 문외동 185-9,2010-06-10,2013-11-29,단독주택,다가구주택,,,11,35.97146330,128.93695841
경상북도 영천시 문외동 185-2 외1필지,2010-06-10,2013-07-01,단독주택,,,,11,35.97135277,128.93677887
경상북도 영천시 금노동 604-43,2010-04-28,2010-07-08,단독주택,,,,2,35.95934505,128.93116399
경상북도 영천시 완산동 907-5,2010-03-23,2010-07-28,단독주택,다가구주택,,,11,35.96259833,128.93834325
경상북도 영천시 금호읍 교대리 6-97,2010-03-22,2013-04-09,단독주택,다가구주택(11가구),,,11,35.93413839,128.87804356
경상북도 영천시 금호읍 교대리 6-17,2010-03-19,2012-07-12,단독주택,다가구주택(11가구),,,11,35.93379773,128.87719962
경상북도 영천시 금호읍 교대리 6-96,2010-03-19,2010-08-26,단독주택,다가구주택(11가구),,,11,35.93398684,128.87777935
경상북도 영천시 금호읍 교대리 6-95,2010-03-19,2010-08-12,단독주택,다가구주택(11가구),,,11,35.93386301,128.87749823
경상북도 영천시 문외동 토지구획정리사업지구 12 1-1,2010-03-17,2010-08-03,단독주택,다가구,,,,,
경상북도 영천시 문외동 토지구획정리사업지구 12 1,2010-03-17,2010-08-03,단독주택,다가구,,,,,
경상북도 영천시 금호읍 석섬리 306,2010-02-22,2010-08-26,단독주택,,,,,35.94445397,128.88613616
경상북도 영천시 문내동 96-2,2010-02-04,2010-07-23,단독주택,다가구,,,14,35.96917520,128.93375691
경상북도 영천시 금노동 532-11 외1필지,2010-01-26,2010-09-15,단독주택,단독주택 및 창고,,,,35.96134675,128.93110754
경상북도 영천시 성내동 212-5,2010-01-22,2010-04-13,단독주택,,,,,35.96063456,128.92337798
경상북도 영천시 문내동 문내.외지구 8블록 5롯드,2009-12-21,2010-05-25,단독주택,다가구 주택,,,18,,
경상북도 영천시 문내동 문내.외지구 8블록 5-1로트,2009-12-21,2010-05-18,단독주택,다가구 주택,,,18,,
경상북도 영천시 야사동 145-7,2009-12-09,2010-05-06,단독주택,다가구 주택,,,17,35.97613421,128.94470713
경상북도 영천시 망정동 402-2,2009-11-18,2011-07-13,단독주택,,,,18,35.98541694,128.95235234
경상북도 영천시 고경면 단포리 126-2 외2필지,2009-11-18,2010-02-02,단독주택,농업용주택,,,,35.98197931,128.97778606
경상북도 영천시 성내동 181-7,2009-10-29,2010-03-25,단독주택,다가구주택,,,11,35.96455218,128.92486228
경상북도 영천시 문외동 문내.외지구토지구획정리사업지구 19B 14L,2009-09-23,2010-02-19,단독주택,,,,18,,
경상북도 영천시 임고면 평천리 355-1,2009-07-06,2009-12-03,단독주택,"단독주택,창고",1,,,36.04319921,128.98797738
경상북도 영천시 완산동 1067-8,2009-05-19,2009-09-28,단독주택,"단독주택,창고",1,,,35.96423221,128.93671118
경상북도 영천시 야사동 127-9,2009-04-15,2009-08-24,단독주택,,,,19,35.97535331,128.94648263
경상북도 영천시 망정동 157-1,2009-04-09,2010-05-25,단독주택,다가구주택,,,11,35.97376725,128.95051955
경상북도 영천시 야사동 445,2008-12-26,2008-12-30,단독주택,단독주택,1,,,35.97987839,128.94606663
경상북도 영천시 야사동 280-17,2008-11-13,2009-05-15,단독주택,다가구주택,,,15,35.97164201,128.94186753
경상북도 영천시 야사동 280-1,2008-11-07,2009-05-15,단독주택,다가구주택,,,15,35.97173879,128.94203937
경상북도 영천시 망정동 104-4,2008-10-10,2009-03-04,단독주택,,,,13,35.97312730,128.95105689
경상북도 영천시 망정동 104-5,2008-10-10,2009-03-04,단독주택,,,,15,35.97309591,128.95127836
경상북도 영천시 신녕면 치산리 491,2008-08-28,2008-12-08,단독주택,,,,5,36.05886550,128.71776394
경상북도 영천시 문외동 문내외지구 토지구획정리사업지구 12 2-1,2008-08-27,2009-01-16,단독주택,다가구,,,16,,
경상북도 영천시 문외동 문내외지구 토지구획정리사업지구 12 2,2008-08-27,2009-01-16,단독주택,다가구,,,16,,
경상북도 영천시 금노동 604-36,2008-08-08,2008-09-30,단독주택,,2,,,35.95905147,128.93093099
경상북도 영천시 임고면 선원리 576 외1필지,2008-05-28,2008-12-16,단독주택,"단독주택,부속창고",1,,,36.04409793,128.97436888
경상북도 영천시 범어동 700 외1필지,2008-04-29,2008-06-03,단독주택,,1,,,35.94305651,128.96317752
경상북도 영천시 망정동 519-10,2008-04-15,2008-09-10,단독주택,다가구주택,,,9,35.98735787,128.95248923
경상북도 영천시 망정동 519,2008-04-14,2008-09-11,단독주택,다가구주택,,,8,35.98734814,128.95236030
경상북도 영천시 금노동 529-4,2008-03-19,2008-09-22,단독주택,,1,,0,35.96185367,128.93100411
경상북도 영천시 문외동 50-29 외1필지,2007-12-04,2008-08-05,단독주택,다가구(11가구),0,,11,35.97527545,128.93849860
경상북도 영천시 문외동 50-27,2007-12-04,2008-08-04,단독주택,,0,,11,35.97508661,128.93802012
경상북도 영천시 북안면 임포리 291 외1필지,2007-10-22,2008-03-13,단독주택,,0,,8,35.91684723,129.00820987
경상북도 영천시 북안면 고지리 642-5,2007-07-13,2008-02-27,단독주택,단독주택,1,,0,35.91589647,129.01035515
경상북도 영천시 야사동 187-1 외1필지,2007-06-15,2007-10-31,단독주택,다가구주택,0,,11,35.97397269,128.94718579
경상북도 영천시 조교동 490,2007-05-07,2007-11-09,단독주택,"단독주택,제2종근린생활시설(사무소)",1,,0,35.98292623,128.96235099
경상북도 영천시 임고면 양항리 470-3,2007-03-07,2007-07-10,단독주택,"단독주택,창고",0,,2,36.01733562,128.97466087
경상북도 영천시 문외동 50-26,2007-02-05,2007-11-21,단독주택,다가구주택,0,,11,35.97490029,128.93761553
경상북도 영천시 문외동 50-44,2007-02-05,2007-11-21,단독주택,다가구주택,0,,11,35.97498940,128.93782408
경상북도 영천시 신녕면 치산리 1400-1,2007-01-12,2011-01-06,단독주택,,,,2,,
경상북도 영천시 청통면 죽정리 619-7,2006-10-02,2007-07-30,단독주택,주택,1,,0,35.96551409,128.82478333
경상북도 영천시 금노동 490-68 외1필지,2006-05-16,2006-09-25,단독주택,단독주택,1,,0,35.95379676,128.93135397
경상북도 영천시 화룡동 197-17,2006-04-24,2006-09-29,단독주택,단독주택,1,,0,35.96467224,128.92322255
경상북도 영천시 화산면 삼부리 274,2006-04-18,2006-11-28,단독주택,,1,,0,36.00593425,128.87775609
경상북도 영천시 임고면 매호리 668-2,2006-03-27,2006-12-28,단독주택,,1,,0,35.99730822,128.96614317
경상북도 영천시 성내동 93-3 외1필지,2006-02-02,2006-05-30,단독주택,,1,,0,35.96496710,128.92905144
경상북도 영천시 고경면 해선리 354,2005-12-26,2006-04-17,단독주택,,1,,0,36.00023222,129.04509826
경상북도 영천시 완산동 729-41,2005-11-25,2006-05-01,단독주택,다가구주택,0,,11,35.96588945,128.94108452
경상북도 영천시 완산동 729-42,2005-11-18,2006-05-01,단독주택,다가구주택,0,,11,35.96589503,128.94122070
경상북도 영천시 완산동 824,2005-09-14,2007-01-15,단독주택,,1,,0,35.96025284,128.94578878
경상북도 영천시 청통면 계지리 578-27,2005-07-22,2005-12-02,단독주택,,1,,0,36.01481148,128.82295611
경상북도 영천시 청통면 계지리 578-3,2005-06-10,2005-09-22,단독주택,,1,,0,36.01460466,128.82331680
경상북도 영천시 고경면 상리리 431-1,2005-01-29,2006-11-13,단독주택,"주택,사무실",1,,0,36.00766124,129.03298399
경상북도 영천시 망정동 410-34,2004-10-27,2005-04-15,단독주택,다가구주택,8,,8,35.98524197,128.95396682
경상북도 영천시 대전동 824,2004-10-25,2005-02-16,단독주택,,1,,0,35.98800949,128.92341430
경상북도 영천시 야사동 280-16,2004-08-05,2004-09-07,단독주택,"다가구주택,근생(사무소)",0,,16,35.97160217,128.94205166
경상북도 영천시 고경면 청정리 283-1,2004-05-13,2004-10-12,단독주택,,1,,0,35.98557191,129.10078531
경상북도 영천시 고경면 청정리 283 외1필지,2004-04-19,2004-07-06,단독주택,"다가구주택,수리점,사무소",2,,0,35.98545478,129.10066530
경상북도 영천시 금호읍 덕성리 293 외1필지,2004-03-26,2004-07-26,단독주택,,1,,0,35.92933554,128.86590915
경상북도 영천시 금호읍 덕성리 40-1 외1필지,2004-03-15,2004-07-30,단독주택,"주택,창고",1,,0,35.92278848,128.88064521
경상북도 영천시 문외동 187-6 외3필지,2004-01-28,2004-04-17,단독주택,,0,,2,35.97086115,128.93625994
경상북도 영천시 야사동 280-16 외1필지,2004-01-05,2004-07-14,단독주택,다가구주택,0,,14,35.97160217,128.94205166
경상북도 영천시 교촌동 222,2003-07-16,2003-12-17,단독주택,다가구,0,,8,35.96714342,128.92597112
경상북도 영천시 교촌동 222-3,2003-07-16,2003-12-17,단독주택,다가구,0,,8,35.96716089,128.92609922
경상북도 영천시 화룡동 180-2,2003-04-29,2003-11-12,단독주택,다가구주택,6,,6,35.96616439,128.92176486
경상북도 영천시 고경면 덕암리 46-3 외1필지,2003-04-21,2003-09-25,단독주택,"단독주택,소매점",1,,0,35.99252125,129.08884464
경상북도 영천시 완산동 1065-48,2003-04-08,2003-09-17,단독주택,단독주택,1,,0,35.96461139,128.93650387
경상북도 영천시 금호읍 덕성리 219-3 외3필지,2003-03-12,2003-07-14,단독주택,다가구주택,0,,2,35.92943773,128.86325491
경상북도 영천시 금노동 560-10,2003-02-26,2003-09-03,단독주택,다가구주택,0,,12,35.96180364,128.92699755
경상북도 영천시 신녕면 화성리 449-1,2003-02-08,2003-10-04,단독주택,"주택,창고",1,,0,36.04658685,128.79386382
경상북도 영천시 야사동 92-4 외1필지,2002-11-29,2003-07-04,단독주택,소매점/주택,,,2,35.97942067,128.94998583
경상북도 영천시 신녕면 화성리 379-2,2002-09-04,2002-12-18,단독주택,"주택,창고,축사",1,,0,36.04463691,128.79092762
경상북도 영천시 망정동 152,2002-09-03,2003-01-07,단독주택,다가구,,,15,35.97505242,128.95131526
경상북도 영천시 문내동 189,2002-08-01,2003-03-14,단독주택,제1종근린생활시설,0,,6,35.96831330,128.93159028
경상북도 영천시 야사동 154-14,2002-07-30,2003-03-25,단독주택,"다가구주택,소매점",3,,3,35.97657443,128.94200128
경상북도 영천시 망정동 152-3,2002-06-07,2002-12-05,단독주택,다가구주택,0,,14,35.97508556,128.95146172
경상북도 영천시 도남동 569,2002-04-02,2002-07-22,단독주택,주택및창고,1,,,35.93613072,128.93652682
경상북도 영천시 망정동 212-4,2002-03-13,2002-09-24,단독주택,다가구주택,0,,11,35.97696676,128.95177761
경상북도 영천시 북안면 임포리 322-3 외1필지,2002-02-22,2002-08-01,단독주택,주택,1,,,35.91821607,129.00869281
경상북도 영천시 야사동 274-9,2002-01-07,2002-08-07,단독주택,다가구주택,,,18,35.97109439,128.94203226
경상북도 영천시 망정동 152-6,2001-11-29,2002-06-07,단독주택,,16,,,35.97495176,128.95147642
경상북도 영천시 야사동 289-1,2001-10-18,2002-03-21,단독주택,다가구주택,,,16,35.97106908,128.94098266
경상북도 영천시 도동 683-1,2001-08-29,2002-02-21,단독주택,,1,,,35.93994877,128.93027987
경상북도 영천시 괴연동 154-3 외1필지,2001-08-20,2001-12-06,단독주택,"주택,축사,퇴비사",,,,35.89204815,128.96044023
경상북도 영천시 북안면 효리 43-5 외1필지,2001-06-26,2001-06-28,단독주택,,,,,35.88612440,129.02250306
경상북도 영천시 망정동 152,2001-06-21,2001-10-19,단독주택,,,,13,35.97505242,128.95131526
경상북도 영천시 금호읍 석섬리 233 외1필지,2001-02-21,2001-02-28,단독주택,,,,,35.94608442,128.88626890
경상북도 영천시 금노동 386-1,2001-02-15,2001-09-24,단독주택,,,,,35.95844904,128.93176398
경상북도 영천시 문외동 111 외1필지,2001-02-09,2002-07-08,단독주택,다가구,,,5,35.96948566,128.93472172
경상북도 영천시 청통면 신원리 466 외1필지,1998-08-11,2016-11-21,단독주택,"주택, 농사용창고",1,,,36.01776692,128.77080424
경상북도 영천시 본촌동 308-2,1997-12-23,2001-08-31,단독주택,,,,19,35.92107946,128.95453460
경상북도 영천시 금호읍 석섬리 183-1 외1필지,1995-07-26,2005-12-02,단독주택,,1,,0,35.94524549,128.88965129
경상북도 영천시 문내동 234-21,1995-05-04,2005-02-18,단독주택,,1,,0,35.97320839,128.93047810
경상북도 영천시 화룡동 273-8 외1필지,1995-04-18,2001-12-19,단독주택,,1,,,35.96467088,128.91943699
경상북도 영천시 문내동 63,1995-02-17,2007-06-28,단독주택,,1,,0,35.96960679,128.93313657
경상북도 영천시 성내동 109-2,1994-06-17,2002-07-11,단독주택,,,,,35.96550488,128.92767421
경상북도 영천시 신녕면 왕산리 355,1992-02-18,2002-05-22,단독주택,,1,,,36.04703221,128.78181262
경상북도 영천시 야사동 331-22,1992-01-07,2004-03-10,단독주택,다가구,,,3,35.97570202,128.94089796
경상북도 영천시 야사동 331-21,1991-03-22,2003-11-26,단독주택,,2,,2,35.97564504,128.94077509
경상북도 영천시 문외동 154-2,1990-09-14,2003-12-20,단독주택,단독주택,1,,,35.97071157,128.93470910
경상북도 영천시 북안면 고지리 306,1989-03-09,2008-02-28,단독주택,주택,1,,0,35.90284495,129.01285312
