구분,업종명,업소명,영업소 주소(도로명),데이터기준일,위도,경도
306,종합미용업,라미헤어,경상북도 영천시 동부로 9 (야사동),2026-04-16,35.97123918,128.94948193
307,종합미용업,골든풋 영천점 재은네일뷰티,경상북도 영천시 삼산길 38 (문외동),2026-04-16,35.97371784,128.93601610
308,종합미용업,미아트,경상북도 영천시 금호읍 원제2길 16-8 (윤성모닝타운),2026-04-16,35.94245365,128.90005767
309,종합미용업,헤어봄봄,"경상북도 영천시 야사시장길 42, 1층 115호 (야사동)",2026-04-16,35.97322098,128.94789589
310,종합미용업,헤어바이도도(Hair by DoDo),경상북도 영천시 언하공단로 95 (망정동),2026-04-16,35.98569226,128.95331181
311,종합미용업,깍새 아저씨,경상북도 영천시 화남면 신화로 1217,2026-04-16,36.05991475,128.89105474
312,종합미용업,오후세시,"경상북도 영천시 백신애길 32, 2층 (창구동)",2026-04-16,35.96712529,128.93043394
313,종합미용업,뷰티아카이브,"경상북도 영천시 중앙동1길 77, 2층 (문외동)",2026-04-16,35.97488115,128.93242820
314,종합미용업,김경자미용실,"경상북도 영천시 강남길 43, 1층 (완산동)",2026-04-16,35.96586699,128.93759981
315,종합미용업,헤어앤젤,"경상북도 영천시 완산중앙3길 35-4, 1층 전면 좌측호 (완산동)",2026-04-16,35.96289013,128.93717010
316,종합미용업,제이뷰티,"경상북도 영천시 완산5길 111, 101호 (완산동, 영천완산미소지움2차)",2026-04-16,35.96728244,128.94606009
317,종합미용업,비주연헤어,"경상북도 영천시 동부로 39, A동 106호 (야사동)",2026-04-16,35.97359502,128.94822346
318,종합미용업,벨뷰티(Belle beauty),"경상북도 영천시 문화새길 62-5, 전면 우측호 1층 (야사동)",2026-04-16,35.97159503,128.94735665
319,종합미용업,휴아손,"경상북도 영천시 모란3길 3, 전면 좌측호 (야사동)",2026-04-16,35.97556903,128.94030768
320,종합미용업,로제염색방,"경상북도 영천시 야사시장길 42, 103호 (야사동)",2026-04-16,35.97322098,128.94789589
321,종합미용업,아니모헤어,"경상북도 영천시 강남길 21, 전면 좌측호 (완산동)",2026-04-16,35.96463687,128.93582909
322,네일미용업,네일하트,"경상북도 영천시 망정1길 171, 205호 (야사동, 한신 더휴 퍼스트상가 )",2026-04-16,35.98262206,128.95108093
323,네일미용업,네일모레,"경상북도 영천시 시청남1길 12-8, 전면 좌측호 (문외동)",2026-04-16,35.97165631,128.93953855
324,네일미용업,네일맑음,"경상북도 영천시 호국로 23, 영진궁전빌라 105동 (문외동)",2026-04-16,35.97201642,128.94072606
325,네일미용업,네일하우스 입구,경상북도 영천시 모란1길 4-1 (야사동),2026-04-16,35.97516785,128.94059585
326,네일미용업,"예쁘다,네일","경상북도 영천시 강남길 49, 1층 (완산동)",2026-04-16,35.96636833,128.93803692
327,네일미용업,시은뷰티,"경상북도 영천시 야사시장길 43, 1동 107호 (야사동)",2026-04-16,35.97353147,128.94781820
328,네일미용업,미르네일,경상북도 영천시 호국로 76-1 (야사동),2026-04-16,35.97399748,128.94604088
329,네일미용업,미애뷰티,경상북도 영천시 완산중앙7길 12 (완산동),2026-04-16,35.96114935,128.93794592
330,네일미용업,"바를, 네일",경상북도 영천시 야사시장길 6 (야사동),2026-04-16,35.97425328,128.94660016
331,네일미용업,제이샵 Nail,"경상북도 영천시 상록5길 3, 1층 전면좌측호 (야사동)",2026-04-16,35.97465007,128.94089401
332,네일미용업,쏨네일,경상북도 영천시 청산길 36 (문외동),2026-04-16,35.97385260,128.93627482
333,네일미용업,윤네일,경상북도 영천시 약전길 18 (완산동),2026-04-16,35.96126586,128.93995483
334,네일미용업,끌레느 뷰티,"경상북도 영천시 호국로 120, 대영빌딩 1층 101(전면좌측)호 (망정동)",2026-04-16,35.97550114,128.95051873
335,네일미용업,네일 래피(Nail Lappy),경상북도 영천시 삼산길 34 (문외동),2026-04-16,35.97347221,128.93620845
336,네일미용업,하이비뷰티&풋,"경상북도 영천시 언하공단로 83, 106호 (망정동)",2026-04-16,35.98591193,128.95453252
337,네일미용업,아보하뷰티스튜디오,"경상북도 영천시 중앙동1길 102-9, 대동다숲아파트 상가 112동 104호 (문내동)",2026-04-16,35.97549908,128.93149357
338,네일미용업,네일 더 끌림,"경상북도 영천시 망정로 30, 1층 (망정동)",2026-04-16,35.97912641,128.95333438
339,네일미용업,마노뷰티,"경상북도 영천시 완산8길 3, 201호 (완산동)",2026-04-16,35.96167260,128.94137456
340,"일반미용업, 피부미용업",올데이(all day),"경상북도 영천시 동부로 43, 2층 (야사동)",2026-04-16,35.97407641,128.94807043
341,"일반미용업, 네일미용업",손톱공주,경상북도 영천시 호국로 38 (야사동),2026-04-16,35.97242088,128.94220474
342,"피부미용업, 네일미용업",네일더예쁨,경상북도 영천시 창신길 140-11 (망정동),2026-04-16,35.98646005,128.95559541
343,"피부미용업, 네일미용업",동그라미네일,경상북도 영천시 호국로 54-1 (야사동),2026-04-16,35.97317409,128.94389592
344,"피부미용업, 네일미용업",리브네일,"경상북도 영천시 호국로 23, 영진궁전빌라 105동 106호 (문외동)",2026-04-16,35.97201642,128.94072606
345,"피부미용업, 네일미용업",도담뷰티,"경상북도 영천시 동부로 61, 2층 (야사동)",2026-04-16,35.97558770,128.94772695
346,"피부미용업, 네일미용업",네일홀릭,"경상북도 영천시 창신길 140-14, 창신타운 상가동 104호 (망정동)",2026-04-16,35.98670510,128.95521889
347,화장ㆍ분장 미용업,마주뷰티,경상북도 영천시 중앙동1길 8 (문외동),2026-04-16,35.97237278,128.93483226
348,화장ㆍ분장 미용업,시언토탈뷰티샵,"경상북도 영천시 중앙동3길 50, 2층 (문내동)",2026-04-16,35.97477120,128.93179199
349,화장ㆍ분장 미용업,현정이네,경상북도 영천시 언하공단로 84 (망정동),2026-04-16,35.98633537,128.95451772
350,화장ㆍ분장 미용업,아이코코뷰티,"경상북도 영천시 시장로 120, 완산골드타워 112호 (완산동)",2026-04-16,35.96346028,128.94375039
351,화장ㆍ분장 미용업,이쁘다SD,"경상북도 영천시 완산로 68, 건물 내 우측 1층 (완산동)",2026-04-16,35.96618234,128.93932558
352,"일반미용업, 화장ㆍ분장 미용업",리프(leaf),경상북도 영천시 충효로 112-1 (야사동),2026-04-16,35.97484774,128.94108679
353,"일반미용업, 화장ㆍ분장 미용업",위드아헤어(with:A hair),경상북도 영천시 호국로 42 (야사동),2026-04-16,35.97260977,128.94261432
354,"피부미용업, 화장ㆍ분장 미용업",오늘도예쁘다,"경상북도 영천시 창신길 140-14, 창신타운 106호 (망정동)",2026-04-16,35.98670510,128.95521889
355,"네일미용업, 화장ㆍ분장 미용업",제이샵,경상북도 영천시 서문길 97-3 (교촌동),2026-04-16,35.96647472,128.92774475
356,"일반미용업, 피부미용업, 화장ㆍ분장 미용업",다온,"경상북도 영천시 창신1길 5-5 (망정동, 창신상가 202-2)",2026-04-16,35.98631537,128.95421322
357,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",리안헤어,"경상북도 영천시 금호읍 교대길 30, 2층",2026-04-16,35.93359564,128.87114364
358,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",지민헤어,"경상북도 영천시 호국로 23, 영진궁전빌라 (문외동)",2026-04-16,35.97201642,128.94072606
359,"피부미용업, 네일미용업, 화장ㆍ분장 미용업",겸이네일,"경상북도 영천시 시장로 120, 115호 (완산동)",2026-04-16,35.96346028,128.94375039
