구분,종류,명 칭,주 소,전화번호,팩스번호,설치년도,시설면적,빈소수,위도,경도
사설,전문,영천전문 장례식장,영천시 한방로 35,054-332-4000,054-332-8115,2007,1947,8,35.94568622,128.93463189
사설,전문,영천영락원 장례식장,영천시 천문로 596-8,054-336-4444,054-335-1024,2014,2314,8,35.98758787,128.92487960
사설,전문,국화원 장례식장,영천시 오수1길 18,054-331-4444,054-331-0004,2019,3300,8,35.95719085,128.91466733
사설,병원,영화원전문장례식장,영천시 금호읍 금호로 484,054-337-4044,054-330-9588,2012,843,6,35.94946386,128.90635866
사설,병원,영천국화원전문장례식장(영대병원 영천지점),영천시 오수1길 10,054-330-7400,054-338-4345,2015,713,6,35.95729740,128.91321026
사설,병원,영천참좋은요양병원 장례식장,영천시 망정1길 32,054-338-1024,054-331-1027,2014,585,4,35.97652085,128.94884839
