상위기관,구분,시설명,주소,전화번호,팩스번호,연면적(m2),주요시설,위도,경도
영천시시설관리공단,교통시설,영천시청본청 부설주차장,영천시 시청로 16 (문외동),054-330-2799,054-330-2719,5785,시청사 주차장,35.97369151,128.93867256
영천시시설관리공단,환경시설,종량제봉투 등 판매,"영천시 도남공단3길 76, 2층",054-330-2714,054-330-2719,0,"종량제봉투, 음식물쓰레기 배출 칩, 대형폐기물 스티커 판매",35.93166607,128.94070942
영천시시설관리공단,문화관광시설,한의마을,영천시 천문로 485 (화룡동),054-330-2750,054-338-9237,4516,"유의기념관, 세미나실, 한방테마거리, 한옥체험관 등",35.97726281,128.92193847
영천시시설관리공단,문화관광시설,보현산댐짚와이어,영천시 화북면 배나무정길 196,054-330-2755,054-338-9879,0,"짚와이어(2라인), 모노레일",36.14392813,128.96450156
영천시시설관리공단,휴양시설,치산캠핑장,영천시 신녕면 치산관광길 263,054-330-2765,054-331-5387,20000,"카라반, 캐빈하우스",36.04913896,128.71282102
영천시시설관리공단,휴양시설,운주산승마자연휴양림,영천시 임고면 승마휴양림길 105,054-330-2770,054-331-9829,730000,"숲속의집, 산림문화휴양관",36.03402459,128.99560601
영천시시설관리공단,휴양시설,보현산별빛테마마을,영천시 화북면 정각리 산206-1,054-330-2764,054-338-9877,15000,"본관동, 펜션동, 야영장, 글램핑장",36.14075098,128.99531474
