사업장명,도로명소재지,대표업종,종
동민산업협동조합 2공장,경상북도 영천시 금호읍 오계리 34-1   36-1  산9-1  산9-2  산11-10 ,폐기물 처리업,5종
(주)시마 영천공장,경상북도 영천시 북안면 북안공단길 58,면 방적업,5종
(주)대명환경산업,경상북도 영천시 대창면 금박로 889,건축폐기물 처리업,4종
녹색자원(주)영천지점,경상북도 영천시 금호읍 오계공단길 26,폐기물 수집  운반  처리 및 원료 재생업,5종
(주)범융EPS,경상북도 영천시 고경면 호국로 1516-131, ,5종
광명산업,경상북도 영천시 금호읍 남성리 371-8 ,지정외 폐기물 처리업,5종
(주)디에이치씨,경상북도 영천시 영천아이시로 106-90 (봉동),기타 자동차부품 제조업,5종
대경디자인휀스,경상북도 영천시 청통면 아랫죽정길 47,금속문 및 관련제품 제조업,5종
(주)다인피에스피,경상북도 영천시 화산면 연유길 179-22,그외 기타 종이 및 판지 제품 제조업,5종
화영테크,경상북도 영천시 대창면 선진길 162-9,산업용 비경화고무제품 제조업,5종
대호1급자동차정비,경상북도 영천시 도동 157 , ,5종
(주)신하화학,경상북도 영천시 고경면 상리공단길 57 (주)한미산업,기타 플라스틱제품 제조업,5종
동민산업협동조합,경상북도 영천시 금호읍 오계공단길 36,폐기물 처리업,4종
(주)은창,경상북도 영천시 고경면 호국로 1101-11,플라스틱 포대  봉투 및 유사제품 제조업,5종
해뜨락영농법인,경상북도 영천시 금호읍 오계공단길 11-15,곡물 가공품 제조업,5종
두래산업사,경상북도 영천시 금호읍 죽방길 271,기타 섬유제품 제조업,5종
대금SRF,경상북도 영천시 대창면 선진길 126,폐기물 처리업,5종
(주)아산,경상북도 영천시 고경면 거곡로 391-30,비금속류 원료 재생업,5종
(주)유성물산,경상북도 영천시 북안면 운북로 1926, ,5종
삼성곡물(주),경상북도 영천시 화남면 현고길 35-37,곡물 도정업,5종
(주)범웅리사이클링,경상북도 영천시 화산면 신화로 972,콘크리트 타일  기와  벽돌 및 블록 제조업,5종
(주)케이에이치이,경상북도 영천시 고경면 호국로 1516-98,토양 및 지하수 정화업,4종
싸이클링에너지(주),경상북도 영천시 화남면 노방길 123-142,폐기물 처리업,5종
(주)더블유티피,경상북도 영천시 대창면 선진길 194-13,자동차부품 제조업,4종
승리산업,경상북도 영천시 임고면 황강공단길 15-10,가공 및 재생 플라스틱원료 생산업,5종
지지마이크로텍,경상북도 영천시 화남면 노방길 115, ,5종
(주)부흥산업,경상북도 영천시 금호읍 오계공단길 21  MNS(주),산업용 세탁업,5종
(주)삼영,경상북도 영천시 대창면 금창로 568 (주)삼영, ,5종
(주)한백글라스,경상북도 영천시 청통면 애련길 140,기타 판유리 가공품 제조업,5종
(주)씨아이앤,경상북도 영천시 금호읍 죽방길 294,비금속류 원료 재생업,5종
이엔에스,경상북도 영천시 상신기길 71 (신기동),비금속원료 재생업,5종
(주)씨에스엘,경상북도 영천시 임고면 매호운천길 60,플라스틱 제품 제조업,5종
주식회사 태봉,경상북도 영천시 청통면 청통로 428-27,도장 및 기타 피막처리업,5종
녹색자원(주)동영천지점,경상북도 영천시 임고면 매호운천길 90,기타 자동차 부품 제조업,4종
(주)신화플라텍,경상북도 영천시 대창면 선진길 46-19,비금속원료 재생업,5종
(주)명산 제3공장,경상북도 영천시 임고면 수평길 108,탭  밸브 및 유사장치 제조업,5종
금호중.공업고등학교,경상북도 영천시 금호읍 교대길 8-18, ,5종
(주)대웅지알케이,경상북도 영천시 북안면 대경로 2630-39,폐기물 수집운반  처리 및 원료재생업,4종
지풍영농조합법인,경상북도 영천시 신녕면 갑티로 231, ,5종
한국가스공사 대구경북지역본부,경상북도 영천시 금호읍 신월숲길 3-14, ,5종
대영산업,경상북도 영천시 화남면 노방길 123-122,합성수지 및 기타 플라스틱 물질 제조업,5종
주식회사 디에스첨단소재 제2공장,경상북도 영천시 금호읍 오계공단길 43 (주)삼일이노콤,비금속원료 재생업,4종
(주)화진지앤씨,경상북도 영천시 북안면 못안길 2-54,기타 자동차부품 제조업,5종
(주)보광,경상북도 영천시 금호읍 오계공단길 1-55,지정 폐기물 처리업,4종
대구경북능금농협골판지공장,경상북도 영천시 본촌공단길 44 (본촌동),골판지 및 골판지 가공제품 제조업,5종
동해소재(주),경상북도 영천시 고경면 동도길 50-32,비금속광물 분쇄물 생산업,5종
한남환경(주),경상북도 영천시 금호읍 금창로 204-48, ,5종
우진세라믹,경상북도 영천시 삼귀길 63 (오미동),기타 내화요업제품 제조업,5종
GE산업,경상북도 영천시 청통면 청통로 125-5, ,5종
(주)피엔피컴퍼니,경상북도 영천시 화산면 연유길 179-7,그외 기타 종이 및 판지 제품 제조업,4종
(주)루소,경상북도 영천시 도남공단1길 5-21 (도남동), ,5종
(주)국제플라텍 2공장,경상북도 영천시 고경면 차당실로 122-31,폐기물 처리업,4종
(주)에니스,경상북도 영천시 북안면 유하큰길 55,토양 및 지하수 정화업,5종
(주)신대영사,경상북도 영천시 금호읍 금창로 273,산업용 세탁업,5종
협성산업(주),경상북도 영천시 청통면 보성공단길 31-13,폐기물 처리업,4종
디크린텍,경상북도 영천시 금호읍 구암안길 11-210,비금속원료 재생업,5종
주식회사 무계바이오 농업회사법인,경상북도 영천시 북안면 대경로 2166-112,비료 및 질소화합물 제조업,5종
(주)하우이씨엠,경상북도 영천시 세홈길 66 (도림동),정형 내화 요업제품 제조업,4종
윤성테크,경상북도 영천시 대창면 사리리 319-1 ,금속 문  창  셔터 및 관련제품 제조업,5종
(주)청도산업,경상북도 영천시 북안면 운북로 1926,폐기물 처리업,5종
ENR컴퍼니,경상북도 영천시 대창면 용대로 954,폐기물 처리업,5종
호경산업 영천공장,경상북도 영천시 도남공단2길 4 (주)성도테크 (도남동),그외 기타 분류안된 화학제품 제조업,5종
에이치디바이오텍(주)원당지점,경상북도 영천시 북안면 대원당길 46,비금속원료 재생업,5종
(주)신원금속,경상북도 영천시 청통면 용내길 72-43,알루미늄 압연  압출 및 연신제품 제조업,5종
(주)엘에스이피에스,경상북도 영천시 도남공단3길 28-47 (도남동),플라스틱 발포 성형제품 제조업,5종
동성산업,경상북도 영천시 영천아이시로 106-31 (봉동),플라스틱 포대  봉투 및 유사제품 제조업,5종
(주)씨케이,경상북도 영천시 채신2공단길 79-17 (채신동),지정외 폐기물 처리업,5종
신한국수지,경상북도 영천시 청통면 사일로 599,가공 및 재생 플라스틱원료 생산업,5종
대우산업,경상북도 영천시 청통면 애련길 10  제조업소,그외 기타 플라스틱제품 제조업,5종
대우양행,경상북도 영천시 청통면 애련길 16,플라스틱 선  봉  관 및 호스 제조업,5종
(주)이마트 영천점,경상북도 영천시 최무선로 83 (오수동),대형 종합 소매업,5종
농업회사법인(주)동서건강,경상북도 영천시 작산동 67-3 ,기타 과실·채소 가공 및 저장처리업,5종
(주)에코비트프리텍 영천지점,경상북도 영천시 오수5길 122 (오수동  덕산금속),폐기물 처리업,5종
에이치케미칼,경상북도 영천시 대창면 신당길 16,폐기물 처리업,5종
대성산업(주),경상북도 영천시 고경면 상계로 178-18 (대암산업),폐기물 처리업,5종
(주)오성기공2공장,경상북도 영천시 임고면 매호운천길 78,전동기 및 발전기 제조업,5종
농업회사법인(주)동서웰빙 도동공장,경상북도 영천시 도동구역길 71-10 (도동),건강기능식품 제조업,5종
농업회사법인(주)동서웰빙,경상북도 영천시 하이브리드로 678 (본촌동),건강기능식품 제조업,5종
이엠코리아(주)영천지점,경상북도 영천시 삼귀길 69 (오미동),사료 제조업,4종
(주)세진,경상북도 영천시 화산면 화산공단길 36,비료 및 질소화합물 제조업,5종
케이디이엔지,경상북도 영천시 채신2공단길 55 (채신동),금속 조립구조재 제조업,5종
동일금속(주),경상북도 영천시 금호읍 금호로 6,그외 기타 특수목적용 기계 제조업,3종
(주)지승,경상북도 영천시 북안면 대경로 2639,비금속류 원료 재생업,4종
(주)제이티에스,경상북도 영천시 임고면 매호운천길 92-11,기타 섬유제품 제조업,5종
농업회사법인 주식회사 연정바이오,경상북도 영천시 신녕면 신정길 59-54,표면가공 목재 및 특수 제재목 제조업,5종
(주)세계주철(제2공장),경상북도 영천시 대창면 금창로 1095-5,절삭가공 및 유사 처리업,5종
주택관리공단(주)영천야사4관리소,경상북도 영천시 충효로 147 (야사동  주공아파트),주거용 부동산 관리업,4종
(주)쌍마산업 영천지점,경상북도 영천시 북안면 새불길 230,그외 기타 비금속광물 광업,5종
주식회사 범창수지,경상북도 영천시 상신기길 61-10 (신기동),지정외 폐기물 처리업,5종
치산영농조합법인,경상북도 영천시 신녕면 치산효령로 715-73,지정외 폐기물 처리업,5종
농업회사법인(주)신흥농산,경상북도 영천시 신녕면 찰방길 42-204,기타 과실·채소 가공 및 저장처리업,5종
(주)다이엑스,경상북도 영천시 북안면 돌할매로 284-14,알루미늄 제련  정련 및 합금 제조업,3종
(주)원일퍼니처 제1공장,경상북도 영천시 청통면 송천공단길 12,금속가구 제조업,5종
(주)일신화이바,경상북도 영천시 금호읍 오계공단길 1-36,플라스틱 접착테이프 및 기타 표면도포제품 제조업,5종
(주)에스앤티(SNT),경상북도 영천시 화산면 장수로 688 (에스제이코리아㈜),강관 제조업,5종
유니테크(주),경상북도 영천시 화남면 천문로 1768,합성고무 제조업,5종
농업회사법인 허브주식회사,경상북도 영천시 임고면 매호운천길 92-14,기타 산업용 농산물 및 산동물 도매업,5종
에스텍 2공장,경상북도 영천시 북안면 북안공단길 60 (주)지엘에스코리아,기타 자동차 부품 제조업,5종
(주)에이치인더스트리,경상북도 영천시 대창면 신당길 25-21,주방용 및 음식점용 목재가구 제조업,5종
한울푸드,경상북도 영천시 청통면 관방길 153-20,과실  채소가공 및 저장처리업,5종
삼경금속(주),경상북도 영천시 금호읍 금창로 265,알루미늄 제련  정련 및 합금 제조업,5종
(주)금성산업 제2공장,경상북도 영천시 화산면 연유길 179-26,폐기물 처리업,5종
농업회사법인 대영농원(주),경상북도 영천시 금호읍 어은길 9,양계업,5종
(주)월성조경토,경상북도 영천시 임고면 신선로 554 (2필지),기타 비료 및 질소화합물 제조업,4종
(주)에코우드,경상북도 영천시 청통면 우천리 1012-5  1008 ,비금속원료 재생업,5종
(주)코리아뉴매틱,경상북도 영천시 대창면 용대로 962,고무제품 및 플라스틱제품 제조업,5종
창성칼라텍,경상북도 영천시 도남공단길 72 (봉동),도장 및 기타 피막처리업,5종
(주)진율산업개발,경상북도 영천시 신녕면 장수로 2383-4,비금속광물 분쇄물 생산업,4종
한국목재사업(주),경상북도 영천시 고경면 거곡로 227-20,폐기물 처리업,5종
(주)디엠아이,경상북도 영천시 금호읍 어은길 313-17,기타 플라스틱제품 제조업,4종
영천시 공공재활용기반시설,경상북도 영천시 바깥완산길 433 (완산동), ,5종
(주)신진에코,경상북도 영천시 채신1공단길 60-1 (채신동),합성수지 및 기타 플라스틱물질 제조업,5종
한성산업,경상북도 영천시 북안면 조암길 138,플라스틱 선  봉  관 및 호스 제조업,5종
(주)아이에스스틸,경상북도 영천시 대창면 사리리 725-2 ,육상 금속 골조 구조재 제조업,4종
(주)일신화이바 북안사업장,경상북도 영천시 북안면 북안공단길 44 (주)일신화이바북안사업장,카펫  마루덮개 및 유사제품 제조업,5종
한성에스앤아이(주) 영천지점,경상북도 영천시 금호읍 오계공단길 1-47,전동기 및 발전기 제조업,5종
(주)지에스탑,경상북도 영천시 고경면 호국로 1516-56,표면처리 및 적층 직물 제조업,5종
(주)케이피씨뉴매틱,경상북도 영천시 대창면 금박로 805-36,플라스틱 선  봉  관 및 호스 제조업,5종
태평에이지(주),경상북도 영천시 채신2공단길 74 (채신동),화학 살균ㆍ살충제 및 농업용 약제 제조업,5종
(주)글로벌케이엔,경상북도 영천시 금호읍 오계공단길 1-47,절삭가공 및 유사 처리업,5종
영천축산업협동조합 경제사업장 간이지점 2공장,경상북도 영천시 명산길 26-34 (오미동),사료 제조업,5종
(주)시알이노테크,경상북도 영천시 도남공단3길 28-1 (도남동),비금속 광물제품 제조업,4종
(주)제이엘,경상북도 영천시 상신기길 71-11 (신기동),혼성 및 재생 플라스틱 소재 물질 제조업,5종
화영테크 2공장,경상북도 영천시 대창면 선진길 169-1,산업용 비경화고무제품 제조업,5종
화윤,경상북도 영천시 언하공단4길 17 (망정동),목재 깔판류 및 기타 적재판 제조업,5종
로얄푸드,경상북도 영천시 도남공단1길 45 (도남동),천연 및 혼합조제 조미료 제조업,5종
우리들환경(주),경상북도 영천시 대창면 금박로 911-4,금속류 원료 재생업,5종
(주)은해,경상북도 영천시 청통면 관방길 156,절삭가공 및 유사 처리업,5종
대금환경개발,경상북도 영천시 고경면 산수골길 19,지정외 폐기물 처리업,5종
천복정공,경상북도 영천시 금호읍 오계공단길 1-27,절삭가공 및 유사 처리업,5종
(주)예림키친,경상북도 영천시 청통면 관방길 160,주방용 및 음식점용 목재가구 제조업,5종
(주)한샘에코시스템즈,경상북도 영천시 청통면 우천리 산 181 , ,5종
태양자동차정비,경상북도 영천시 금호읍 금호로 471,자동차 종합 수리업,5종
(주)세원푸드,경상북도 영천시 임고면 포은로 201,천연 및 혼합조제 조미료 제조업,5종
(주)엘에스지,경상북도 영천시 청통면 청통로 646-18,그외 기타 고무제품 제조업,5종
주식회사 아이에스에프산업,경상북도 영천시 북안면 북안공단길 44 (주)일신화이바북안사업장,표면처리 및 적층 직물 제조업,5종
만봉산업,경상북도 영천시 청통면 용내길 67-25, ,5종
(주)대성건설,경상북도 영천시 금호읍 삼호리 산 21-24 ,토목 건설업,5종
신한국수지 제1공장,경상북도 영천시 도들앞길 53 (도동),지정 외 폐기물 처리업,5종
엔더블유이엔씨,경상북도 영천시 청통면 관방길 45-29,구조용 금속제품 제조업,4종
(주)오엠시스템,경상북도 영천시 대창면 선진길 121-20,가구 제조업,4종
우리유통,경상북도 영천시 금호읍 강회3길 13-106,농산물 건조  선별 및 기타 수확후 서비스업,5종
(주)태화테크,경상북도 영천시 대창면 선진길 201,건설 및 채광용 기계장비 제조업,5종
(주)화신정공,경상북도 영천시 도남공단3길 96  화신정공 (도남동),그외 기타 자동차 부품 제조업,5종
