사업장명,도로명소재지,대표업종,종
(주)한샘생활건강,경상북도 영천시 청통면 보성공단길 43,그외 기타 제품 제조업,5종
유재스틸,경상북도 영천시 고경면 가수길 62, ,5종
조원산업 2공장,경상북도 영천시 금호읍 칠백로 284-11,기타 제품 제조업,5종
주식회사 디에스첨단소재,경상북도 영천시 금호읍 오계공단길 43,플라스틱제품 제조업,4종
성동산업,경상북도 영천시 금호읍 오계공단길 11-1,천막 및 기타 캔버스제품 제조업,5종
(주)신성에너텍,경상북도 영천시 금호읍 오계공단길 28,석유정제물 재처리업,4종
(주)대풍환경,경상북도 영천시 화남면 신화로 1167, ,4종
우천산업,경상북도 영천시 청통면 어부길 50-12,재생용 비금속가공원료 생산업,5종
영신정미소,경상북도 영천시 화산면 구성길 23-38,곡물 도정업,5종
(주)일신중전기,경상북도 영천시 북안면 북안공단길 42, ,5종
(주)한스케미칼,경상북도 영천시 화산면 장수로 1340,합성수지 및 기타 플라스틱 물질 제조업,5종
(주)유성,경상북도 영천시 대창면 금박로 937,기타 자동차부품 제조업,4종
대진케미칼,경상북도 영천시 신기동 산 5-23 185 ,재생용 비금속가공원료 생산업,5종
성일산업,경상북도 영천시 금호읍 오계공단길 33-14,그외 기타 제품 제조업,4종
(주)농수 영천공장,경상북도 영천시 청통면 애련길 275-16,기타 과실·채소 가공 및 저장처리업,5종
삼양환경산업(주),경상북도 영천시 도남공단2길 38 (도남동 213-2),기타 기초 무기화학 물질 제조업,4종
신성물산(주),경상북도 영천시 도남공단2길 15-5 (도남동),기초 무기화학물질 제조업,4종
(주)피제이산업 영천지점,경상북도 영천시 칠백로 808-11 (도남동),지정 폐기물 처리업,4종
부산수지,경상북도 영천시 오수5길 96 (오수동), ,5종
명진RND,경상북도 영천시 대창면 금박로 744-98,알루미늄 제련  정련 및 합금 제조업,4종
(주)신도이엔브이,경상북도 영천시 청통면 청통로 556 (  25-1),설치용 및 위생용 플라스틱제품 제조업,5종
(주)태정산업,경상북도 영천시 금호읍 오계공단길 27-1,구조용 금속판제품 및 금속공작물 제조업,3종
(주)제이.앤.피,경상북도 영천시 대창면 사리리 산 69-1 , ,5종
형인산업,경상북도 영천시 청통면 신원리 318-1 ,폐기물 처리업,5종
(주)엘비산업,경상북도 영천시 청통면 신원길 136-10, ,5종
진풍산업(주),경상북도 영천시 도남공단길 36 (도남동 209-2),철강선 제조업,4종
현대종합정비공장,경상북도 영천시 오수5길 106 (오수동), ,4종
(주)덕성,경상북도 영천시 채신1공단길 40-5 (채신동),동 제련  정련 및 합금 제조업,4종
시민1급자동차정비,경상북도 영천시 장수로 74 (화룡동),자동차 종합 수리업,4종
삼의제약,경상북도 영천시 대전길 38 (대전동),기타 식료품 제조업,5종
(주)드림텍,경상북도 영천시 채신1공단길 60-7 (채신동),기타 금속가공제품 제조업,5종
(주)진흥,경상북도 영천시 천문로 223 (금노동),일반 제재업,5종
대아아스콘(주),경상북도 영천시 고경면 산수골길 18,아스팔트 콘크리트 및 혼합제품 제조업,4종
(주)삼성하우징 영천공장,경상북도 영천시 금호읍 오계공단길 29,비내화 모르타르 제조업,5종
진풍산업(주),경상북도 영천시 도남공단3길 56 (도남동),철강선 제조업,4종
성림첨단산업(주),경상북도 영천시 채신1공단길 74-30 (채신동), ,4종
주식회사 신진알앤씨,경상북도 영천시 청통면 청통로 211-9,기타 고무제품 제조업,5종
윈코(WINCO),경상북도 영천시 대창면 한제길 67-11, ,5종
성희엔지니어링,경상북도 영천시 안야사길 151 (야사동), ,5종
(주)삼한알엔텍,경상북도 영천시 채신1공단길 60-8 (채신동), ,5종
우리아스콘(주),경상북도 영천시 고경면 산수골길 47, ,4종
(주)부강산업,경상북도 영천시 녹전길 55 (녹전동),고무 및 플라스틱제품 제조업,4종
(주)폴머,경상북도 영천시 도남공단길 29 (도남동), ,5종
삼성유리공업(주),경상북도 영천시 청통면 관방길 124,기타 산업용 유리제품 제조업,5종
(주)일신화이바,경상북도 영천시 금호읍 오계공단길 11-16,자동차부품 제조업,5종
선진산업,경상북도 영천시 대창면 용전리 516-3 , ,5종
(주)씨아이씨테크,경상북도 영천시 본촌공단1길 13-22 (본촌동),플라스틱 합성피혁 제조업,4종
(주)코람,경상북도 영천시 도남공단3길 40 (도남동),그외 기타 제품 제조업,4종
티지엠 주식회사,경상북도 영천시 고경면 상리공단길 17-82,강주물 주조업,4종
(주)한보엔지니어링,경상북도 영천시 임고면 황강공단길 35,콘크리트 관 및 조립구조재 제조업,5종
(주)명산,경상북도 영천시 임고면 수평길 108,그 외 기타 금속 가공업,4종
우석클린(주),경상북도 영천시 채신2공단길 79-18 (채신동),기타 제품 제조업,5종
(주)토탈그린,경상북도 영천시 임고면 운주로 267-11, ,4종
(주)세화,경상북도 영천시 대창면 선진길 30,강주물 주조업,5종
(주)대호스틸,경상북도 영천시 북안면 북안공단길 16,기타 제품 제조업,5종
(주)대영산업,경상북도 영천시 화산면 가일길 20-18,플라스틱 선  봉  관 및 호스 제조업,5종
대원산업,경상북도 영천시 화산면 장수로 679,비금속원료 재생업,5종
(주)세운티.엔.에스,경상북도 영천시 언하공단4길 42 (망정동),1차 유리제품  유리섬유 및 광학용 유리 제조업,4종
STAMP TECH,경상북도 영천시 채신동 , , 
(주)케이에이치,경상북도 영천시 청통면 관방길 144-12,금속 조립구조재 제조업,4종
(주)리드시스,경상북도 영천시 고경면 호국로 1516-117,재생용 비금속가공원료 생산업,5종
(주)크리오디엔에스,경상북도 영천시 고경면 호국로 1516-69,치약  비누 및 기타 세제 제조업,5종
동일금속(주)제3공장,경상북도 영천시 금호읍 덕성리 342 331-1 332 ,토목공사 및 유사용 기계장비 제조업,4종
KB바이오,경상북도 영천시 청통면 금송로 1050,비료 및 질소 화합물 제조업,5종
(주)투엠모터스,경상북도 영천시 북안면 임포역길 21,내연기관 제조업,5종
에스와이(주)영천지점,경상북도 영천시 대창면 선진길 46-6,금속 조립구조재 제조업,5종
(주)청통,경상북도 영천시 청통면 보성길 134,가정용 및 장식용 도자기 제조업,5종
(주)사일온천,경상북도 영천시 사일로 458-64 (서산동), ,5종
성일중자,경상북도 영천시 대창면 금창로 549-4,기타 비철금속 주조업,5종
(주)엔사이언스코리아,경상북도 영천시 채신동 643-15 ,치약  비누 및 기타 세제 제조업,5종
(주)디엠씨 영천공장,경상북도 영천시 언하공단1길 23 (언하동),자동차부품 제조업,4종
주식회사 비에스이엔씨,경상북도 영천시 북안면 북안공단길 27,절단가공 및 표면처리강재 생산업,4종
(주)세계주철,경상북도 영천시 대창면 금창로 1095-4,주철관 제조업,4종
(주)성호테크,경상북도 영천시 채신2공단길 88 (채신동),기계장비 조립용 플라스틱제품 제조업,5종
(주)경림,경상북도 영천시 금호읍 어은길 27-52 (주)경림,곡물 도정업,5종
에코피에스,경상북도 영천시 신녕면 장수로 1446-23,폐기물 처리업,5종
영동그린고경종합폐차산업,경상북도 영천시 고경면 동도길 50-42,고무 및 플라스틱제품 제조업,4종
(주)큰바위콘크리트,경상북도 영천시 고경면 호국로 1569-38,그외 기타 콘크리트 제품 제조업,5종
(주)태산,경상북도 영천시 신녕면 완전공단길 23,기타 식품 제조업,5종
(주)진보,경상북도 영천시 임고면 운주로 598-136,기타 화학제품 제조업,5종
주식회사 국제플라텍,경상북도 영천시 고경면 차당실로 122-33 (외 차당리 710-6),재생용 비금속가공원료 생산업,4종
(주)동주피앤지,경상북도 영천시 북안면 북안공단길 15,플라스틱제품 제조업,5종
에스제이 세진테크,경상북도 영천시 도남공단2길 5 (도남동),자동차 부품 제조업,5종
(주)한스인테크,경상북도 영천시 북안면 운북로 2053,플라스틱 필름  시트 및 판 제조업,4종
에이치디바이오텍(주),경상북도 영천시 북안면 대원당길 56,비금속광물 분쇄물 생산업,5종
