연번,업종명,업소명,소재지주소,위도,경도,우편번호
59,집단급식소,새싹어린이집,경상북도 영천시 바깥완산길 43 (완산동),35.96220575,128.9511554,38895
60,집단급식소,해인어린이집,경상북도 영천시 안야사1길 34 (야사동),35.97927502,128.9455944,38832
61,집단급식소,서라벌예술어린이집,경상북도 영천시 중앙동2길 53 (문외동),35.97421337,128.9336477,38850
62,집단급식소,햇살어린이집,경상북도 영천시 문화새길 86 (야사동),35.97103541,128.9481127,38862
63,집단급식소,영천시농업기술센터,"경상북도 영천시 천문로 622-13 (오미동,외 2필지)",35.99091967,128.9259708,38823
64,집단급식소,영안중학교,경상북도 영천시 북안면 운북로 2025,35.91800431,129.0076983,38907
65,집단급식소,임고중학교,경상북도 영천시 임고면 운주로 87,36.02068915,128.9825015,38819
66,집단급식소,영창중학교,경상북도 영천시 대창면 금박로 1033,35.87594313,128.8937318,38911
67,집단급식소,청통중학교,경상북도 영천시 청통면 새학길 33-11,35.99110122,128.8246627,38869
68,집단급식소,화산중학교,경상북도 영천시 화산면 연유길 14,36.01997146,128.8488835,38807
69,집단급식소,의료법인대동의료재단,경상북도 영천시 화남면 온천길 17-37 (외 2필지),36.08623675,128.8622992,38809
70,집단급식소,오펠골프클럽직원식당,경상북도 영천시 고경면 호국로 1221-24 (외 135필지),36.00924153,129.0578009,38901
71,집단급식소,한솔어린이집,경상북도 영천시 창신길 87 (망정동),35.9913868,128.9559977,38825
72,집단급식소,의법)송학의료재단 효사랑요양병원,"경상북도 영천시 금호읍 금호로 484 (외 2필지(5-17, 5-8))",35.94949314,128.9063768,38874
73,집단급식소,주식회사 체리푸드,경상북도 영천시 금호읍 금창로 165 (외2필지),35.91975881,128.8847515,38882
74,집단급식소,(주)디엠씨영천공장,경상북도 영천시 언하공단1길 23 (언하동),35.98958658,128.9602123,38828
75,집단급식소,마야실비노인요양원,경상북도 영천시 북안면 고지길 42-6 (외1필지),35.90632024,129.0123801,38907
76,집단급식소,(주)한중,경상북도 영천시 영천산단로 379 (채신동),35.91357092,128.9490431,38899
77,집단급식소,영천중앙유치원,경상북도 영천시 조양길 71 (문내동),35.97182602,128.9323556,38850
78,집단급식소,청삼어린이집,경상북도 영천시 창신1길 12 (망정동),35.98735414,128.9553612,38827
79,집단급식소,영천C.C,경상북도 영천시 임고면 방목길 34-2,36.04805534,129.0123631,38819
80,집단급식소,보현자연수련원,경상북도 영천시 자양면 별빛로 1051,36.1385544,129.0340813,38814
81,집단급식소,(주)우건건설급식소,경상북도 영천시 북안면 운북로 1703,35.89008608,129.0115418,38909
82,집단급식소,(주)오성기공 영천공장,경상북도 영천시 임고면 매호운천길 80,36.00230376,128.9658017,38817
83,집단급식소,한국전력공사 영천지사 구내식당,경상북도 영천시 천문로 199 (금노동),35.95655202,128.9308344,38896
84,집단급식소,재단법인 영남건설기술교육원 내 식당,"경상북도 영천시 고경면 호국로 791 (외 5필지(146-1,152,159,935-1,952-3))",36.00157057,129.0152284,38900
85,집단급식소,(주)세원이엔아이,경상북도 영천시 도남공단2길 35 (도남동),35.93014901,128.9371624,38898
