연번,시도,시군구,읍면동,리,지번,기타지번,위도 도,위도 분,위도 초,경도 도,경도 분,경도 초,취약지역유형,소유별,취약지역 지정사유 및 목적,지정일
35,경상북도,영천시,북안면,유상리,산55-1임,,35,54,6.165,128,58,54.915,토석류,사유림,최상부 사방댐이 존재하나 인가 주변의 계류에는 침식이 발달하여 퇴적물이 다수 형성되어 있는 상태임. 위험요소 제거를 위한 취약지역 지정이 필요하다고 판단됨.,2017-06-29
36,경상북도,영천시,청통면,치일리,산25-1,542-2전,35,59,35.144,128,45,56.753,토석류,사유림,"지속적 풍화로 계류 황폐화 진행, 계류 붕괴 유실시 하류 인가피해 우려",2014-09-06
37,경상북도,영천시,화북면,옥계리,산77임,,36,8,4.8,128,55,36.099,토석류,사유림,"침식이 계류 내 발달하였으며, 유목, 전석 등이 적치되어 있으므로 취약지역으로의 선정을 제안함",2018-12-21
38,경상북도,영천시,신녕면,치산리,산255천,,36,2,25.499,128,43,7.78,토석류,사유림,"계류 내 사면에서 침식이 발생하고 있으며, 전체적으로 대상지 내 사면이 축축한 편으로 강우 시 유량의 증가로 인해 사면침식이 더 활발해져 토석류 및 산사태 발생가능성이 있을 것이라고 판단되므로 취약지역으로 선정함.",2014-09-06
39,경상북도,영천시,자양면,노항리,산49-16임,,36,3,48.599,129,3,12.5,토석류,사유림,지류의 합류로 강우 시 유량이 많을 것으로 예상되며 토석류의 가능성이 있는 지역으로 산사태 발생 우려지역으로 선정하여 유지 및 관리가 필요할 것으로 사료됨.,2015-07-20
40,경상북도,영천시,화남면,구전리,953구,,36,6,17.599,128,50,40.9,토석류,사유림,유출구를 중심으로 인가가 분포하고 있으며 집중호우시 다량의 계류수 유입에 따라 계류 내 적치되어 있는 퇴적물이 계류 하류로 이동하여 피해를 줄 가능성이 있으므로 산사태 발생 우려지역으로 선정이 필요하다고 생각됨.,2015-07-20
41,경상북도,영천시,임고면,사리,산90임,,36,2,31.256,129,5,5.595,토석류,사유림,퇴적암의 풍화가 발달하여 발생된 암편이 배수기능을 저하시키고 있음. 또한 월류피해가 우려되는 지역으로 취약지역으로 지정하여 인명ㆍ재산피해를 예방하고자 함.,2017-06-29
42,경상북도,영천시,화북면,용소리,산65,,36,8,57.056,128,56,14.249,토석류,사유림,보현산 다목적댐의 만수위 상류부를 취약지역으로 선정하여 관리할 필요가 있는 지역이라고 사료됨.,2015-07-20
43,경상북도,영천시,화남면,용계리,352전,,36,7,38.299,128,52,47,산사태,사유림,붕괴된 사면도 있고 붕괴 위험성이 있는 사면이 연장선상에 있어 산사태 발생 우려지역으로 선정이 필요하다고 생각되어 산사태 발생 우려지역으로 선정해야 한다고 생각됨,2015-07-20
44,경상북도,영천시,북안면,용계리,산35임,,35,52,10,129,0,24,토석류,사유림,"계류 내 자갈, 모래 등 퇴적물의 분포비율이 높고 유수에 의한 유동흔적이 관찰됨. 암반이 노출되어 있으나 풍화도가 매우 높은 구간이 있어 계류 내부로 토석이 유입되고 있음. 그 외 표층유실, 식생의 뿌리노출이 관찰됨.",2018-12-21
45,경상북도,영천시,자양면,용산리,산46-1임,,36,5,27.899,129,2,16.3,토석류,사유림,현재 계류 곳곳에 퇴적물의 이동흔적이 보이며 하부 인가와 인접해있어 산사태 발생 우려지역으로의 선정 및 관리가 필요하다고 생각됨.,2015-07-20
46,경상북도,영천시,대창면,용호리,산104임,,35,50,22.999,128,56,19,토석류,사유림,계류 내부로 퇴적물적치구간이 다수 존재하고 유동흔적이 관측되며 상부의 거암으로 인해 강우 시 월류 피해가 발생하고 있는 지역으로 취약지역으로 선정함,2017-06-29
47,경상북도,영천시,자양면,신방리,산5임,,36,4,1.809,129,4,26.157,토석류,사유림,도로와 다수의 인가들이 하부에 분포하고 있어 산지재해시 피해 발생이 우려되는 지역으로 산사태 발생 우려지역으로 설정하여 관리가 필요하다고 사료됨.,2015-07-20
48,경상북도,영천시,신녕면,부산리,산15임,,36,3,7.499,128,45,11.6,토석류,사유림,퇴적물이 많으며 수목이 계류 쪽으로 전도되어 추후 퇴적물과 유목으로 인한 하부의 피해가 예상됨,2015-07-20
49,경상북도,영천시,화북면,하송리,산32임,,36,10,15.699,128,55,31.8,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 다수의 인가가 존재하나 그에 따른 예방사방시설물이 없어 강우 시 발생할 수 있는 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 있을 것으로 예상됨.,2014-09-06
50,경상북도,영천시,고경면,부리,산89-1임,,35,58,7.499,129,2,46.699,토석류,사유림,"수목전도, 침식, 표층유실 등 위험요소가 산재되어 있음.",2018-12-21
