연번,시도,시군구,읍면동,리,지번,기타지번,위도 도,위도 분,위도 초,경도 도,경도 분,경도 초,취약지역유형,소유별,취약지역 지정사유 및 목적,지정일
104,경상북도,영천시,자양면,보현리,산32임,,36,8,20.699,129,3,0.8,토석류,사유림,현재 계류 내 침식 및 퇴적물의 이동이 관찰되며 계류수로 인한 계안의 측방침식이 발생하는 것으로 보아 집중호우시 하류부에 위치한 인가 및 시설물에 퇴적물로 인한 피해가 있을 것으로 판단되므로 취약지역으로 선정함.,2014-09-06
105,경상북도,영천시,자양면,충효리,산77임,,36,5,52.999,129,2,54.5,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유역 영향권 내 인가밀집지가 존재하나 그에 따른 사방시설물이 없어 강우시 발생가능성이 높은 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 클 것으로 예상됨.,2014-09-06
106,경상북도,영천시,화북면,법화리,567구,,36,9,45.199,128,57,5.5,토석류,사유림,하류 인가등 보호대상이 있어 취약지역으로 지정,2014-09-06
107,경상북도,영천시,화북면,하송리,100-2과,,36,9,1.454,128,55,42.224,토석류,사유림,보현산 다목적댐의 만수위 상류부를 취약지역으로 선정하여 관리할 필요가 있는 지역이라고 사료됨.,2015-07-20
108,경상북도,영천시,화북면,하송리,산108임,,36,9,41.599,128,55,25.5,토석류,사유림,"계류 붕괴지가 다수 보이고 있으며 양안의 사면에서 유송잡물의 유입이 많고, 강우에 의한 세굴 및 침식에 매우 취약 할 것으로 판단됨에 따라 산사태 발생 우려지역으로 선정이 필요하다고 생각됨",2015-07-20
109,경상북도,영천시,화북면,상송리,산51임,산42-3,36,9,56.399,128,54,16.6,토석류,사유림,계류 전반에 걸쳐 퇴적물의 비율이 높고 양안으로 인가가 존재해 집중호우 시 토석류 발생예방을 위하여 사방댐설치가 필요할 것으로 사료됨,2016-06-29
110,경상북도,영천시,화남면,온천리,산7임,,36,5,8.899,128,51,46.8,토석류,사유림,계상에 침식이 길게 나타나고 크고작은 붕괴지도 보인다. 사면에서 유입된 퇴적물로 인하여 통수능력 감소되어 있기에 산사태 발생 우려지역으로 선정해야 할 것으로 판단됨,2015-07-20
111,경상북도,영천시,청통면,신원리,산189천,,36,0,39.803,128,45,7.418,토석류,사유림,계안 침식 계속 진행되고 있으며 퇴적물 분포 비율도 높아 강우시 토석류에 의한 하류 피해 우려,2014-09-06
112,경상북도,영천시,화남면,구전리,802임,산62임 796목 797답 801답 산63임,36,5,57.625,128,51,22.031,토석류,사유림,사방사업시행,2019-12-30
113,경상북도,영천시,화남면,용계리,산34-1임,,36,7,50.599,128,52,48,토석류,사유림,"토사 유실이 진행 중이며, 집중호우 시 토석류 발생 가능성이 있어 산과 인접한 도로 및 농경지 등의 피해를 예방하고자 사방댐 설치가 필요하여 산사태 발생 우려지역으로 선정해야 한다고 판단됨",2015-07-20
114,경상북도,영천시,자양면,신방리,산79임 산80임,,36,4,27.894,129,5,56.829,토석류,사유림,토석류의 가능성이 있는 지역으로 인가가 인접해 있어 피해가 우려되는 바 산사태 발생 우려지역 선정이 필요하다고 생각됨.,2015-07-20
115,경상북도,영천시,북안면,임포리,산47임,,35,54,41.757,128,59,30.451,토석류,사유림,"암반풍화도가 높은 구간이 다수 존재하고 양 기슭으로 토사유출량이 많음. 그 외 침식, 표층유실, 붕괴 등 위험요소가 산재되어 있어 취약지역으로의 선정이 필요하다 판단됨.",2018-12-21
116,경상북도,영천시,고경면,창상리,110-1체,,35,59,38.796,128,59,24.649,산사태,사유림,"본 사면은 토층의 심도가 깊어 강우 시 사면의 하방, 측방 침식에 매우 취약한 형태를 보이고 있으며 현재 세굴 등으로 인한 소규모 토사 유출현상으로 위험도는 낮으나 장기적인 측면을 고려해 보면 세굴로 인하여 사면의 하부 지지력을 이탈시켜 붕괴로 이어질 가능성이 높음.",2015-07-20
117,경상북도,영천시,신녕면,화남리,산32임,,36,4,9.099,128,46,15.5,토석류,사유림,토석류 지정,2014-09-06
118,경상북도,영천시,청통면,신원리,산136-2임,,36,0,49.094,128,45,35.432,토석류,사유림,유역면적에 비해 유출구 부근으로 계류의 규모가 작아 월류발생가능성이 높은 지역으로 취약지역으로 선정할 필요성이 있음,2017-06-29
119,경상북도,영천시,고경면,오룡리,산150임,,36,1,0.7,129,7,22.299,토석류,사유림,심한 풍화로 인해 침식과 표층유실이 발달하였으며 퇴적물 분포비율이 높은 계류로서 하부로 유출될 경우 피해가 예상되므로 취약지역으로의 선정을 제안함.,2018-12-21
120,경상북도,영천시,자양면,보현리,산23임,,36,8,4.71,129,3,6.604,토석류,사유림,전석이 적치되어 있는 구간 및 붕괴가 발생한 구간을 취약지역으로 설정이 필요하다고 생각됨.,2015-07-20
121,경상북도,영천시,북안면,내포리,산14임,,35,56,0,129,1,4,토석류,사유림,"계류 양안이 급경사를 형성하고 있고 높이가 높으며 토심이 깊음. 좌, 우측 및 바닥부 침식이 발달하고 있고 수목전도 및 유목이 다수 적치되어 있음. 붕괴지가 관찰됨.",2018-12-21
122,경상북도,영천시,신녕면,화남리,산30임,,36,4,7.499,128,46,27.1,토석류,사유림,지정,2014-09-06
123,경상북도,영천시,화북면,입석리,443과,448과 449전 446전 375답,36,8,5.176,128,57,8.201,토석류,사유림,사방사업신청,2019-12-30
124,경상북도,영천시,화북면,입석리,산31임,,36,8,1.099,128,57,12.8,토석류,사유림,유송잡물이 계류 내 적치되어 있으며 이로 인해 계류가 막힌 구간이 존재하고 지반이 취약하여 세굴 및 유실로 인한 토사유출이 빈번히 발생하므로 취약지역으로 선정함,2016-06-29
125,경상북도,영천시,화남면,용계리,산41임,,36,7,48.999,128,52,9,토석류,사유림,"계류 내부로 퇴적물 분포비율이 높고 유동흔적이 관측되며 유목이 다수 존재하고 그 외 표층유실, 수목전도현상이 관측되어 취약지역으로 선정함",2017-06-29
126,경상북도,영천시,화남면,용계리,산17임,산16임,36,8,18.998,128,53,7.041,토석류,사유림,인가와 농경지 인근에 위치한 계류로 폭이 협소하고 높이가 낮아 월류할 가능성이 존재하고 하부의 임도와 인가의 인명 및 재산피해를 예방하기 위해 시설물 설치가 필요할 것으로 사료됨,2016-06-29
127,경상북도,영천시,화남면,구전리,산21임,,36,6,44.899,128,51,40.9,토석류,사유림,계류 전반적으로 소규모 붕괴지가 다수 관찰되며 일부 암반층이 파괴된 곳이 있음. 계안침식이 활발히 일어나 구곡이 심화되고 있는 계류로 급격한 유량 증가시 토사에 의한 피해가 있다고 판단됨.,2015-07-20
128,경상북도,영천시,고경면,삼포리,산188구,,36,1,42.999,129,7,6.9,토석류,사유림,거대한 붕괴지와 그로인해 쓰러진 유목들로 막혀진 계류때문에 최단부로부터 100M만 조사 진행,2015-07-20
129,경상북도,영천시,자양면,용산리,산37임,,36,6,21.699,129,2,16.6,토석류,사유림,"평가지점 하류에 저수지가 위치하고 있고 계류의 황폐화로 인한 토사유출로 하류 주거지역이 재해에 노출된 상태이므로, 적정규모의 방재시설이 필요하였고 아울러 민원인의 사업요청도 있었던 지역이므로 산사태 발생 우려지역으로 선정이 필요하다고 생각됨",2015-07-20
130,경상북도,영천시,자양면,삼귀리,844구,,36,4,56.397,129,4,48.02,토석류,사유림,주민들의 생활용수로 사용되는 저수시설이 퇴적물 유입으로 인해 피해를 입음. 추가적인 퇴적물의 유입을 억제하고자 취약지역으로 지정을 제안함.,2017-06-29
131,경상북도,영천시,자양면,보현리,산42임,,36,8,19.899,129,2,9.9,토석류,사유림,중간부외 최상부에 퇴적물이 많이 쌓여 있어 강우시 하류부로 퇴적물이 이동하여 하류부에 위치하는 시설물 및 인명 피해가 발생될 가능성이 있기에 산사태 발생 우려지역으로 선정이 필요하다고 생각됨,2015-07-20
132,경상북도,영천시,북안면,상리,산37-3임,,35,50,45,128,59,44.999,토석류,사유림,양안에서 침식이 발생한 상태로 수목이 전도되어 있으며 퇴적물이 유동되고 있으므로 취약지역 선정이 필요하다고 판단됨.,2018-12-21
133,경상북도,영천시,청통면,신원리,611임,산180,36,1,16.399,128,45,48.9,토석류,사유림,"유역이 넓은 계류로 계류수가 항시 존재하고 유역 내 퇴적물이 다량 적치된 구간, 뿌리노출, 수목전도 등 위험요소들이 존재하므로 취약지역으로 선정함",2016-06-29
134,경상북도,영천시,화남면,월곡리,산127임,,36,6,34.999,128,52,10,토석류,사유림,계류 내 유송잡물이 다량 존재하고 강우 시 다량의 계류수와 퇴적물이 떠내려와 연지사가 큰 피해를 입은 이력이 있어 취약지역으로 선정함,2017-06-29
135,경상북도,영천시,화북면,정각리,산62임,산60임,36,8,32.726,128,59,8.147,토석류,사유림,사방사업시행,2019-12-30
136,경상북도,영천시,신녕면,치산리,산171임,,36,3,37.999,128,43,39,토석류,사유림,국부적으로 소규모 계안침식이 관측되고 노출된 기반암구간 중 풍화도가 높아 계류 내부로 토석이 유입되는 구간이 있으며 기슭막이구간 상부의 인가에는 대비책이 없으므로 취약지역으로 선정하는 것이 적절하다 판단됨,2017-06-29
137,경상북도,영천시,화북면,공덕리,산20임,,36,5,32.5,128,57,48.999,토석류,사유림,"계류 우측으로 붕괴지가 발달하였으며, 붕괴사면부 토사가 유실되어 계류 내부로 유입되어 계상퇴적지가 관찰되므로 취약지역으로의 선정을 제안함",2018-12-21
138,경상북도,영천시,자양면,성곡리,산118-1임,,36,4,44.4,129,1,19.599,토석류,사유림,"좌, 우측 침식이 발달하였으며, 상부로 진입 시 붕괴지 및 다수의 지류가 관찰되므로 취약지역으로의 선정을 제안함",2018-12-21
139,경상북도,영천시,자양면,도일리,산57-1임,,36,5,48.899,129,5,27.1,토석류,사유림,본 계류는 황폐화가 진행되고 있는 유역으로 계류 내 퇴적물인 전석과 자갈이 퇴적되어 있고 부분적으로 세굴과 침식이 관측된다. 강우 시 유량이 상당히 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임.,2014-09-06
140,경상북도,영천시,화북면,죽전리,산107구,산96-2임,36,8,46.372,128,55,8.235,토석류,사유림,"매미 때 피해가 발생한 지역으로 표층유실, 뿌리노출 외 큰 위험요소가 관측되지 않으나 주민이 불안을 호소하고 사방시설이 필요하다고 요구하는 지역임",2016-06-29
141,경상북도,영천시,화남면,용계리,산6구,산7-2천 364-1과,36,7,30.56,128,52,30.842,토석류,사유림,사방사업시행,2019-12-30
142,경상북도,영천시,자양면,보현리,산64임,,36,8,55.499,129,2,19.4,토석류,사유림,"사면에서 붕괴 및 토사유실이 우려되는 상태이며 계류내 전석, 자갈 및 유송잡물 등 퇴적물이 많이 쌓여 있어 강우시 토석류 발생시 매우 위험하므로 본 대상지를 산사태 발생 우려지역으로 선정이 필요하다고 생각됨",2015-07-20
143,경상북도,영천시,청통면,신원리,산133임,,36,0,48.599,128,45,41.6,토석류,사유림,"퇴적물 유동흔적이 관측되고 세굴, 표층유실 등으로 인해 토사가 지속적으로 유실되고 있어 취약지역으로 선정해 관리할 필요가 있음",2017-06-29
144,경상북도,영천시,신녕면,부산리,산11-2임,,36,3,8.899,128,45,16.7,토석류,사유림,계류 주변 나무들을 전부 베어 계류쪽으로 버려둠,2015-07-20
145,경상북도,영천시,신녕면,화서리,산223임,,36,4,40.199,128,44,0,토석류,사유림,암반이 풍화에 취약하여 자갈 형태의 사이즈로 쪼개져 계류안을 채우고 있음,2015-07-20
146,경상북도,영천시,신녕면,매양리,산87-1임,,36,1,44.999,128,45,57,토석류,사유림,세굴 및 침식으로 인하여 지속적인 토사가 발생되고 있고 집중호우 시 하부 사찰 및 인가에 피해가능성이 존재함,2017-06-29
147,경상북도,영천시,고경면,삼포리,산103임,산102-3,36,1,47.545,129,7,12.955,토석류,사유림,인가가 멀리 떨어져 있고 유역면적이 작으나 토심이 깊고 계안침식이 관찰되며 그에따른 붕괴지도 발생해 계류보전을 통해 계류를 정비할 필요성이 있다고 사료됨,2016-06-29
148,경상북도,영천시,자양면,충효리,산135임,,36,7,21.922,129,3,19.416,토석류,사유림,하부에 절 및 인가들이 위치하고 있어 토석류 발생 시 피해 발생이 우려되는 지역으로 산사태 발생 우려지역으로 선정이 필요하다고 생각됨.,2015-07-20
149,경상북도,영천시,고경면,덕정리,산74임,,35,55,27.999,129,6,58,토석류,사유림,강우 시에 돌 굴러가는 소리가 들릴 정도로 유량이 많고 퇴적물 유동이 잦은 지역으로 주민이 불안감을 호소하고 있어 취약지역으로 지정하여 관리를 제안함.,2017-06-29
150,경상북도,영천시,신녕면,가천리,산14임,,36,4,20.999,128,47,53,토석류,사유림,"계류 전반적으로 퇴적물의 분포비율이 높으며 강우 시 하류부로 이동, 적치될 시 인명 및 재산피해가 우려되므로 취약지역으로 선정하여야 할 것으로 사료됨",2017-06-29
151,경상북도,영천시,자양면,노항리,산58-15임,,36,3,55.899,129,2,57.4,토석류,사유림,"하부 배수시설의 규모가 계류의 유량에 비해 작은 편이어서 강우 시 하부 배수관 위로 월류가 발생한다는 주민의 의견이 있었으며, 붕괴지 및 침식이 발달한 곳이 있는 것으로 조사되어 산사태 발생 우려지역으로의 선정이 필요하다고 사료됨.",2015-07-20
152,경상북도,영천시,화북면,하송리,산50임,,36,10,2.083,128,55,16.318,토석류,사유림,하류 인가 등 보호대상이 있어 취약지역으로 지정,2014-09-06
153,경상북도,영천시,화남면,구전리,산53-1임 산52,,36,6,12.599,128,51,6.6,산사태,사유림,현재 붕괴된 사면도 있고 붕괴 위험성이 있는 사면이 연장선상에 있어 산사태 발생 우려지역으로 선정이 필요하다고 생각됨이고 판단됨,2015-07-20
154,경상북도,영천시,신녕면,가천리,산11임,,36,4,19.596,128,48,14.154,토석류,사유림,"계류 내부에 퇴적물 분포비율이 높고 유동흔적이 관측되며 표층유실, 세굴, 수목전도, 뿌리노출과 같은 위험요소가 산재하므로 취약지역으로 선정하는 것이 적절하다 판단됨",2017-06-29
155,경상북도,영천시,임고면,삼매리,산115임,,36,4,26.42,128,58,30.538,토석류,사유림,유출구 하부로 소규모 콘크리트수로가 존재하나 강우시 유출될 계류수 및 퇴적물의 유동을 막기에는 부족할 것으로 판단되므로 추가적인 계류보전시설이 필요하다 판단됨,2016-06-29
156,경상북도,영천시,고경면,삼포리,산52임,,36,1,30.979,129,6,51.673,토석류,사유림,침식과 포락으로 인해 계상퇴적지가 발달하였으며 추후 계류황폐화가 예상되므로 취약지역으로의 선정을 제안함.,2018-12-21
157,경상북도,영천시,화북면,정각리,산37임,,36,8,59.899,128,59,27.2,토석류,사유림,"본 계류는 지속적인 풍화로 인해 계류 황폐화가 유역 전반에 걸쳐 진행된 상태이며, 계류 주변부 급경사지에는 퇴적물들이 다수 분포하고 있어 지속적으로 본 계류에 유입되고 있는 상태이다. 장기적으로는 붕괴유실물들이 적치될 경우 집중호우등과 같은 외부적인 조건에 의해 계류수가 증가하면서 토석류의 형태로 발생될 가능성이 있으므로 취약지역으로 선정함.",2014-09-06
158,경상북도,영천시,자양면,보현리,산3-1임,,36,8,16.799,129,3,6.4,토석류,사유림,본 조사유역은 유출구를 중심으로 인가가 분포하고 있으며 강우에 의한 침식이 진행 중이다. 또한 계류 양안의 자연사면에서 식생중 일부가 계류 쪽으로 전도되는 현상이 발견되고 상부 위험사면에서 토석류 발생시 계류 하부에 존재하는 인가 및 인공경작지에 막대한 피해를 줄 것으로 예측되어 취약지역으로 선정함,2014-09-06
159,경상북도,영천시,화북면,입석리,산49임,,36,8,25.794,128,58,42.669,산사태,사유림,건물 뒷편 산지에서 토사 유출이 되는 곳을 취약지역으로 선정해야 한다고 생각됨.,2015-07-20
160,경상북도,영천시,자양면,성곡리,산133임,,36,4,55.799,129,1,51.8,토석류,사유림,"계류 내 수목전도, 토석, 유목 등 다수의 토석류 발생인자가 존재하는 지역으로 인가의 인명ㆍ재산피해가 우려되어 취약지역지정이 필요한 지역으로 사료됨.",2017-06-29
161,경상북도,영천시,청통면,치일리,산62구,479종,35,59,28.998,128,47,20.041,토석류,사유림,하부로 은해사가 존재하고 붕괴지가 관측되며 계류 전반에 걸쳐 퇴적물의 비율이 높고 집중호우 시 토석류 발생예방을 위하여 사방댐설치가 필요할 것으로 사료됨,2016-06-29
162,경상북도,영천시,화북면,옥계리,산86-2,296전,36,7,43.262,128,55,55.614,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 인가밀집지가 존재하나 그에 따른 사방시설물이 없어 강우시 발생가능성이 높은 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 클 것으로 예상됨.,2014-09-06
163,경상북도,영천시,화북면,상송리,산70구,,36,9,42.573,128,54,42.186,토석류,사유림,저수지에 퇴적물이 지속적으로 유입되고 있어 저수지의 보호를 위한 취약지역 지정을 제안함.,2017-06-29
164,경상북도,영천시,화남면,선천리,산68임,,36,3,34.699,128,53,50.6,토석류,사유림,침식이 길게 발달하고 있으며 침식으로 농경지 피해가 발생할 것으로 판단되어 산사태 발생 우려지역으로 선정해야 한다고 판단됨,2015-07-20

