법정동코드,법정동명
4723037034,경상북도 영천시 임고면 양평리
4723038000,경상북도 영천시 고경면
4723038021,경상북도 영천시 고경면 단포리
4723038022,경상북도 영천시 고경면 창하리
4723038023,경상북도 영천시 고경면 창상리
4723038024,경상북도 영천시 고경면 대의리
4723038025,경상북도 영천시 고경면 대성리
4723038026,경상북도 영천시 고경면 오류리
4723038027,경상북도 영천시 고경면 고도리
4723038028,경상북도 영천시 고경면 부리
4723038029,경상북도 영천시 고경면 용전리
4723038030,경상북도 영천시 고경면 도암리
4723038031,경상북도 영천시 고경면 상리리
4723038032,경상북도 영천시 고경면 학리
4723038033,경상북도 영천시 고경면 해선리
4723038034,경상북도 영천시 고경면 전사리
4723038035,경상북도 영천시 고경면 동도리
4723038036,경상북도 영천시 고경면 차당리
4723038037,경상북도 영천시 고경면 삼귀리
4723038038,경상북도 영천시 고경면 초일리
4723038039,경상북도 영천시 고경면 상덕리
4723038040,경상북도 영천시 고경면 가수리
4723038041,경상북도 영천시 고경면 석계리
4723038042,경상북도 영천시 고경면 삼산리
4723038043,경상북도 영천시 고경면 삼포리
4723038044,경상북도 영천시 고경면 오룡리
4723038045,경상북도 영천시 고경면 덕암리
4723038046,경상북도 영천시 고경면 청정리
4723038047,경상북도 영천시 고경면 파계리
4723038048,경상북도 영천시 고경면 칠전리
4723038049,경상북도 영천시 고경면 덕정리
4723038051,경상북도 영천시 고경면 논실리
4723039000,경상북도 영천시 북안면
4723039021,경상북도 영천시 북안면 상리
4723039022,경상북도 영천시 북안면 당리
4723039023,경상북도 영천시 북안면 북리
4723039024,경상북도 영천시 북안면 도유리
4723039025,경상북도 영천시 북안면 명주리
4723039026,경상북도 영천시 북안면 용계리
4723039027,경상북도 영천시 북안면 신대리
4723039028,경상북도 영천시 북안면 신리리
4723039029,경상북도 영천시 북안면 효리
4723039030,경상북도 영천시 북안면 도천리
4723039031,경상북도 영천시 북안면 옥천리
4723039032,경상북도 영천시 북안면 서당리
4723039033,경상북도 영천시 북안면 고지리
4723039034,경상북도 영천시 북안면 임포리
4723039035,경상북도 영천시 북안면 반계리
4723039036,경상북도 영천시 북안면 자포리
