시설종류,시설명,운영주체,인원수,연락처,소재지주소,운영상태,데이터기준일자,위도,경도
노인교실,(사)대한노인회 영천시지회 부설노인대학,(사)대한노인회 영천시지회(법인),328,054-334-4779,경상북도 영천시 중앙동 2길 86(문내동),운영,2025-12-10,35.97421580,128.93219740
노인교실,(사)영천향토문화교육대학 부설 노인대학,(사)영천향토문화교육대학(법인),70,,경상북도 영천시 최무선로 214,운영,2025-12-10,35.96306701,128.92449840
노인교실,화산행복문화대학,영천화산교회(종교단체),50,054-335-6044,경상북도 영천시 화산면 장수로 982-1,운영,2025-12-10,36.01860104,128.84951573
노인교실,경북영광학교 부설 영원히 젊어지는 학교,경북영광학교(법인),50,054-331-6503,경상북도 영천시 북안면 신평탑골길 4,운영,2025-12-10,35.89256795,129.01511321
